Country,Energy use (kg of oil equivalent per capita),CO2 emissions (kt),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),GDP (current US$),"School enrollment, primary (% gross)",Employment in industry (% of total employment) (modeled ILO estimate),Population growth (annual %),Population
China,2224.35489845903,10944686.2,3.5,17794781986104.5,100.171730041504,32.1520079690103,-0.103794531589067,1410710000.0
Colombia,728.56503307654,79057.6,3.0,363540156234.868,104.830467224121,20.3326580219522,0.406206101195742,52085168.0
Comoros,66.4614466873832,328.2,3.0,1352380972.15662,106.206192016602,14.9742143731681,1.81205290418229,852075.0
"Congo, Dem. Rep.",377.718154819819,3025.6,3.0,66383287002.9969,122.393676757812,10.1822583962221,3.23230523620325,102262808.0
"Congo, Rep.",531.483695901664,7153.9,2.5,15321055818.3263,87.6686172485352,22.175051846976,2.25962565586274,6106869.0
Costa Rica,1012.68401052951,6967.4,3.0,86497941439.0174,107.611297607422,18.9690447309072,0.603176926750417,5212173.0
Cote d'Ivoire,603.372260421634,10894.9,4.0,78788828906.8634,93.7590026855469,10.4559435341061,2.49863016801663,28873034.0
Croatia,1897.84066540377,15626.9,3.0,82688842717.3926,95.9421997070312,28.3896529662913,-0.0633298852988127,3853200.0
Cuba,1032.39208946397,24327.8,3.0,107351800000.0,99.8729629516602,16.5836915659659,-0.158363803836215,11194449.0
Cyprus,1676.21442741898,6771.8,3.5,32229622669.1951,99.1028137207031,17.154970297712,0.688799542570149,1260138.0
Czechia,3860.00296414044,88835.2,3.0,330858339871.686,99.8488922119141,36.4428857482671,1.87114719000125,10873689.0
Denmark,2816.61456539942,27356.5,3.5,404198757537.974,100.244453430176,19.0763472373379,0.741185515720057,5946952.0
Djibouti,165.280468240722,427.7,2.5,4098530513.55777,64.3954010009766,5.9773062026076,1.38273344206501,1136455.0
Dominica,625.227190112686,162.8,3.5,653992592.592593,91.8765411376953,16.51695783246135,0.415704036089014,73040.0
Dominican Republic,743.245334252729,22881.3,3.0,121444279313.931,100.492286682129,20.2619494363353,0.923257649090989,11332972.0
Ecuador,888.621965893708,34431.0,3.0,118844826000.0,97.5341033935547,17.3482902486332,1.04712882938642,18190484.0
"Egypt, Arab Rep.",782.763111816384,210752.3,3.5,395926075163.006,91.5901794433594,28.3596695360133,1.54356509805617,112716598.0
El Salvador,654.780091105183,6376.3,3.5,34015620000.0,90.786003112793,23.4297676783067,0.449575546018594,6364943.0
Equatorial Guinea,1853.89338690196,4350.4,2.25,12116922539.4112,51.1990013122559,13.1424318320536,2.34629870847474,1714671.0
Eritrea,245.033060773148,706.4,2.0,2065001626.01626,72.036003112793,9.02411874742766,1.74549257972489,3748901.0
Estonia,4173.32658257102,7097.52,3.5,40744848827.9537,99.2638168334961,28.6218158832959,1.27794159737588,1366188.0
Eswatini,390.218522372529,1147.7,2.75,4597855845.04276,120.863037109375,23.9808906882591,0.758721181538574,1210822.0
Ethiopia,484.960434707226,18098.0,3.5,163697927593.982,85.5350036621094,6.52341544161202,2.5187790536759,126527060.0
Fiji,588.335683681993,1028.2,4.0,5494797540.73365,108.043998718262,14.236830281312,0.708309568380842,936375.0
Finland,5924.70012488295,36329.9,3.0,300187202696.084,98.6190185546875,21.3954331758675,0.505513909563998,5584264.0
France,3692.01783331053,267154.7,3.5,3030904089607.9,102.696418762207,19.2561002968825,0.292221085514903,68170228.0
Gabon,2580.43831395807,5349.2,3.75,20516134388.6608,100.588996887207,16.1878744553377,1.97181513140581,2436566.0
"Gambia, The",75.359103124683,611.4,3.5,2339904156.79214,93.745002746582,7.50779587521246,2.45217756522986,2773168.0
Georgia,1180.27275264329,10255.0,3.0,30535530479.0227,103.414001464844,13.8207586891176,1.28099843092554,3760365.0
Germany,3817.54941455461,603350.5,3.5,4456081016705.96,101.346549987793,26.8745922313803,0.813269249881238,84482267.0
Ghana,320.389640392564,19401.16,4.0,76370394412.4163,96.5331573486328,18.8648906143578,1.91170171695852,34121985.0
Greece,2182.07109345882,51002.2,3.25,238206312632.528,98.6386108398438,15.5585741937981,-0.631359846394221,10361295.0
Grenada,724.994405907362,324.5,4.0,1320334235.58897,83.4000015258789,13.98029447562875,0.592162162131326,126183.0
Guatemala,863.568934549633,16865.2,3.0,102050473863.636,103.906227111816,22.012646729025,1.39900898821501,17602431.0
Guinea,3257.257238055446,4537.9,4.0,23612295818.0961,97.9629974365234,7.21890740753602,2.36211734721627,14190612.0
Guinea-Bissau,65.4914061487468,329.0,3.0,1966461400.35833,113.270462036133,10.607781110302,2.12750787782784,2150842.0
Guyana,660.920185956503,2768.5,3.0,16786302158.2734,99.7228698730469,25.4287488087565,0.629624405206613,813834.0
Haiti,398.826533650125,3209.04,2.0,19850829757.7471,114.106979370117,12.3055837216456,1.19922882982183,11724763.0
Honduras,586.645633591978,8835.4,3.5,34400509852.0436,83.8010025024414,23.4388080007424,1.53082951071852,10593798.0
Hungary,2432.75179142028,44769.3,2.75,212388906458.724,101.455070495605,31.3761830756816,-0.552969965032594,9589872.0
Iceland,17478.8930368937,1446.6,3.0,31020032583.1972,98.5672912597656,17.9865252926883,2.99067031992196,393600.0
India,630.900867833184,2200836.3,4.0,3549918918777.53,112.03099822998,26.1203240533855,0.805014301342575,1428627663.0
Indonesia,880.12100202521,563197.0,3.0,1371171152331.16,100.644996643066,21.867968440679,0.735139895418266,277534122.0
"Iran, Islamic Rep.",2964.86030207072,616561.3,3.5,401504514718.718,104.484008789062,34.2378730492119,0.700188903168177,89172767.0
Iraq,1346.5494443986,163511.5,3.25,250842782139.464,103.738700866699,27.5153440168032,2.24105014081182,45504560.0
Ireland,2819.87585169324,33742.2,3.5,545629450403.735,99.9838485717773,19.2499124626067,2.60299259103173,5262382.0
Israel,2777.87532368349,58471.8,3.5,509901495702.103,96.2489776611328,15.7097053375557,2.06280419087907,9756700.0
Italy,2481.75464546017,281286.8,3.5,2254851212731.8,101.617156982422,26.8712579854071,-0.304633382751779,58761146.0
Jamaica,1008.63983784772,5835.6,2.75,19423355367.2372,90.7408676147461,17.1763687996707,-0.0648514304106601,2825544.0
Japan,3428.55721600428,1014064.7,3.5,4212945159781.4,102.218322753906,23.5516575956172,-0.487370782049143,124516650.0
Jordan,944.744333177101,20974.1,3.5,50813642348.6746,87.5580368041992,18.2445478311613,0.452488759778546,11337052.0
Kazakhstan,4434.63912123152,211896.7,3.25,261421121085.572,100.523002624512,21.508748349175,1.34158039345206,19900177.0
Kenya,515.58168167853,19446.8,4.0,107440575838.048,97.1859970092773,15.5799122226502,1.96674157342146,55100586.0
Kiribati,107.845251867684,56.9,3.0,279034355.108421,101.40503692627,20.28414315148715,1.72470818693557,133515.0
"Korea, Dem. People's Rep.",474.054720163642,52437.2,3.5,870323192877.6376,93.1532287597656,12.9863745780894,0.35000834215513,26160821.0
"Korea, Rep.",5413.34785665856,569681.8,3.0,1712792854202.37,99.0333633422852,24.4572796744967,0.077477253324535,51712619.0
Kuwait,9006.50497237334,92308.9,2.75,161772221950.942,101.933448791504,25.1586587791191,0.96131038288673,4310108.0
Kyrgyz Republic,650.40150801131,9080.1,3.0,13987627908.8381,96.1800003051758,24.5669546459927,1.78894630690457,7100800.0
Lao PDR,3257.257238055446,19178.9,3.5,15843155731.2552,97.2229995727539,7.17839436403818,1.37576862016302,7633779.0
Latvia,2176.84330583785,6928.3,3.5,43627078481.287,99.41796875,23.6691358191191,0.125866344662112,1881750.0
Lebanon,1194.33001898845,21474.9,3.0,17937256175.141,83.5560989379883,20.4318191476862,-2.50498427319778,5353930.0
Lesotho,9.57919600295443,2311.9,3.5,2046039024.45854,87.2544631958008,35.0418399887391,1.05662089697663,2330318.0
Liberia,3257.257238055446,1179.5,3.0,4332000000.0,72.9198532104492,8.32528661116419,2.15837823978606,5418377.0
Libya,2930.37316629505,44467.0,3.5,50491722445.7773,106.919326782227,22.7692443695571,1.1101275120524,6888388.0
Liechtenstein,3257.257238055446,141.996093,4.0,7364654515.13984,102.110137939453,15.73692593491845,0.651369032629572,39584.0
Lithuania,2387.27519440779,11693.8,3.5,77836396962.772,101.434379577637,25.7446530098552,1.41170910782706,2871897.0
Luxembourg,6548.40555894973,7853.1,3.0,85755006123.5976,98.4758377075195,9.11830869023959,2.34600975458798,668606.0
Madagascar,3257.257238055446,2745.45,3.0,16031702914.9195,138.192001342773,9.85945715118128,2.38265667508188,30325732.0
Malawi,3257.257238055446,1640.0,3.0,14084341062.3675,126.438003540039,8.08835424107956,2.54716886319793,20931751.0
Malaysia,2930.84832191793,245139.3,3.5,399648828546.504,97.754997253418,28.1338675856663,1.08520231604055,34308525.0
Maldives,919.643461304233,1454.0,3.5,6600000000.0,97.8300018310547,25.1933741534242,-0.529476508977336,521021.0
Mali,3257.257238055446,4150.7,3.0,20904898296.2501,72.6490020751953,10.1465088454621,3.05166141549371,23293698.0
Malta,1781.50442518605,1610.7,3.25,20956999452.4317,93.5346603393555,17.1561615803047,4.07701021450296,553214.0
Marshall Islands,592.175876235242,110.0,3.0,284000000.0,105.104331970215,20.28414315148715,1.02196784869723,41996.0
Mauritania,3629.893205553335,3847.1,3.0,10452577062.7581,86.6899032592773,14.7001899839062,2.6431022627714,4862989.0
Mauritius,1111.18070928824,3720.2,3.25,14397127281.3829,102.881149291992,21.4628133132448,-0.117452949112512,1261041.0
Mexico,1559.11899782985,383131.4,3.0,1788886821046.81,102.004783630371,25.0269994052711,0.743434542137949,128455567.0
"Micronesia, Fed. Sts.",3257.257238055446,107.5,3.0,460000000.0,91.5279998779297,20.28414315148715,0.924204879960664,115224.0
Moldova,1155.26267445583,8611.2,4.0,16539436547.295,106.542778015137,12.6796857383105,-2.06952171753803,2486891.0
Mongolia,1851.58413034484,21184.7,3.5,19872180369.6275,95.5630035400391,22.0809216619565,1.42551054825547,3447157.0
Montenegro,1538.26409996623,2527.2,4.0,7404541964.50779,100.693969726562,18.4874772917475,-0.167992320943883,616177.0
Morocco,554.226022007379,66719.5,2.75,141109373209.414,114.169990539551,23.9551234891988,1.01483758667745,37840044.0
Mozambique,446.872087028602,6945.5,3.5,20624597846.5495,121.177581787109,9.08160989329672,2.77535206169073,33897354.0
Myanmar,378.070648519683,33874.6,2.0,64815031669.0952,118.851997375488,18.7853504888887,0.733178876221607,54577997.0
Namibia,805.074540760347,3952.8,2.25,12351024843.7467,132.985992431641,16.5781978166068,1.4372197796667,2604172.0
Nauru,3257.257238055446,41.4,3.0,154127798.193541,94.9424133300781,20.28414315148715,0.880232027299544,12780.0
Nepal,425.666370962227,14949.2,3.5,40908073366.8455,122.984001159668,17.4569581402028,1.13603537496157,30896590.0
Netherlands,4233.04385740124,130315.1,3.0,1118124749886.29,104.378402709961,14.027621260572,1.00340157218113,17879488.0
New Zealand,4431.51473076756,31359.7,3.25,253465703232.146,97.9169464111328,20.7728581178517,2.04836808947608,5223100.0
Nicaragua,589.911117925947,4582.2,2.5,17829215283.7997,107.180000305176,18.1763456020531,1.39938096442621,7046310.0
Niger,148.99276864037,2197.95,3.5,16819170420.5653,64.9660034179688,7.37081551552738,3.72576598230791,27202843.0
Nigeria,750.970916241396,111978.1,3.0,362814951696.073,86.7234268188477,14.5602960093505,2.37988826918731,223804632.0
North Macedonia,1367.86285883549,6796.7,2.25,14761237042.2057,91.3753128051758,30.4006911841419,-1.0830878621445,1811980.0
Norway,5817.63660265655,36177.4,3.5,485513316503.63,98.9731903076172,19.3440558388993,1.13818460655469,5519594.0
Oman,6067.7183634814,71041.5,3.0,108192457737.321,90.096809387207,46.8870441010881,1.47683734209876,4644384.0
Pakistan,431.626863440414,184111.2,3.0,338368455317.876,84.3679962158203,25.517039744416,1.9571034315941,240485658.0
Palau,4803.67985352776,158.2,3.0,263020733.717011,104.825736999512,20.28414315148715,0.0166145155866348,18058.0
Panama,1083.34616936412,9582.7,3.0,83382400000.0,101.456001281738,16.7051808074151,1.34074838442305,4468087.0
Papua New Guinea,3257.257238055446,5491.5,2.5,30932496249.7917,109.501403808594,11.5071523513016,1.82993546980529,10329931.0
Paraguay,848.496425956796,7575.7,3.5,42956263543.9482,90.6060028076172,18.74360732744,1.18427440537002,6861524.0
Peru,783.354990590846,46578.9,3.0,267603248655.253,107.360000610352,17.45366511448,0.886323861618286,34352719.0
Philippines,470.496653640983,133471.3,3.5,437146372729.942,91.8720016479492,18.9088611076501,1.52719727728693,117337368.0
Poland,2490.20641907427,279223.8,3.5,811229100687.566,100.108032226562,30.8341339972151,-0.369758116260503,36685849.0
Portugal,2131.68188764014,38973.5,3.0,287080013574.497,104.925727844238,24.0018561405552,1.10479001213844,10525347.0
Qatar,19903.4751057253,87578.3,3.25,235770403734.9,102.090957641602,40.0278624760759,0.786068869030495,2716391.0
Romania,1591.66765909995,68664.0,3.0,351002579629.67,90.7731704711914,32.8303421990284,0.047801854432771,19056116.0
Russian Federation,4928.56622731845,1618271.0,3.5,2021421476035.42,101.949310302734,26.5716596248985,-0.285217600763343,143826130.0
Rwanda,3257.257238055446,1382.0,4.5,14097768647.6695,134.93034362793,14.4368924798241,2.28190198384881,14094683.0
Samoa,304.497107277481,206.5,3.5,934100336.275654,104.123001098633,16.2645455884519,1.47258738875474,225681.0
Sao Tome and Principe,259.059730931143,141.1,3.5,603240748.954207,109.629280090332,20.0475410868333,1.94938626026079,231856.0
Saudi Arabia,6645.96020788927,513555.8,3.0,1067582933333.33,102.705947875977,16.883160343428,1.46740769611431,36947025.0
Senegal,283.29618788648,10680.2,3.5,31013986429.1861,83.2787017822266,22.6258293491238,2.54699595340171,17763163.0
Serbia,1859.42888765227,46324.3,2.0,75187125426.7375,89.1468811035156,29.07621544685,-0.699014137453456,6618026.0
Seychelles,2410.82873707855,598.7,2.75,2141450171.13932,97.6453704833984,11.00524666275853,-0.0876274304874622,119773.0
Sierra Leone,3257.257238055446,1048.0,3.5,3809832236.95959,151.726318359375,12.0081239078657,2.13120700196935,8791092.0
Singapore,5121.80431773157,43705.0,3.5,501427500080.059,99.8746490478516,14.2378190566168,4.85831607781442,5917648.0
Slovak Republic,3003.66421998152,29035.8,3.0,132793622283.071,100.326721191406,35.8780058180944,-0.0923148510113108,5426740.0
Slovenia,3174.87258490422,12477.3,2.5,68216781410.5228,100.639137268066,30.1955580456974,0.422923513694067,2120937.0
Solomon Islands,126.828359613887,223.3,2.5,1631286701.11516,104.318099975586,11.4003512092649,2.20546019496427,740424.0
Somalia,3257.257238055446,660.4,2.5,11679800110.1523,21.1983299255371,17.8053388244778,3.05481740638644,18143378.0
South Africa,2686.37619555841,393241.6,3.0,377781600985.873,98.1153106689453,18.0780742367268,0.865464649421926,60414495.0
South Sudan,62.4466481005921,1742.7,1.0,11997800760.2242,81.8610000610352,13.7480306882107,1.59654622262538,11088796.0
Spain,2571.34096211178,202705.8,3.0,1580694712515.71,102.899139404297,20.0696415317728,1.23763541014937,48373336.0
Sri Lanka,504.310821128808,21846.3,3.5,84356860421.13,96.8720016479492,27.041991449477,-0.651320770103285,22037000.0
St. Kitts and Nevis,1765.39402318409,231.0,3.5,1077033111.11111,123.615493774414,16.453177875064952,0.205424966383384,47755.0
St. Lucia,764.096992561993,499.2,3.5,2519925938.52447,103.664779663086,16.807826597988,0.218823329233446,180251.0
St. Vincent and the Grenadines,631.632137443153,219.8,3.5,1065962962.96296,110.58699798584,19.9199811720405,-0.240794545327961,103698.0
Sudan,405.031774915957,20796.1,2.0,109327023588.732,77.7693176269531,14.5433338974617,2.6001891699622,48109006.0
Suriname,1211.39512921244,2601.32,3.0,3782437296.04323,98.0430068969727,26.4437407267976,0.837207897304605,623236.0
Sweden,5102.78557831232,33576.1,3.5,593267701033.408,116.425392150879,17.2457346294194,0.472717863265105,10536632.0
Switzerland,2960.07338939119,34916.1,3.5,884940402230.409,101.363067626953,20.269050322555,0.84073604280258,8849852.0
Syrian Arab Republic,538.177219155299,25234.6,3.75,8980060818.72145,79.6461715698242,22.6640667467921,4.85965527721486,23227014.0
Tajikistan,336.851522420153,9328.8,3.5,12060602008.8478,95.9131393432617,20.7535112914701,1.89847329660101,10143543.0
Tanzania,488.715614377551,14435.5,3.0,79158286333.524,95.504997253418,8.47208178281404,2.91944687054643,67438106.0
Thailand,1926.16010050065,265478.9,3.5,514944993833.578,99.6829986572266,22.2352712897184,0.145296511250275,71801279.0
Timor-Leste,59.8413517474656,446.1,2.0,2243142908.46161,110.747001647949,11.7824217318821,1.42865283050419,1360596.0
Togo,452.948068179183,2415.1,4.5,9171261835.06264,122.478256225586,20.0117044128343,2.29140060710712,9053799.0
Tonga,543.896172096251,118.1,3.0,500274898.085221,109.861000061035,27.5819117248849,0.852631300433594,107773.0
Trinidad and Tobago,13489.037755892,15420.0,3.5,28139944790.2911,97.6362075805664,26.6751859093778,0.253948220302279,1534937.0
Tunisia,920.073308584482,29293.0,3.5,48529595416.6533,103.912643432617,33.3593541265408,0.822964272088378,12458223.0
Turkiye,1657.9258591822,407406.2,3.0,1108022373259.51,102.596397399902,27.7310910881347,0.406430370277168,85326000.0
Turkmenistan,4723.33816927393,63655.0,2.5,59887334844.0651,110.284736633301,33.7280243070659,1.31817552142514,6516100.0
Tuvalu,3257.257238055446,6.6,3.0,62280311.5852172,98.4408187866211,20.28414315148715,0.739830748144493,11396.0
Uganda,3257.257238055446,5674.6,3.5,49272882213.623,105.526321411133,7.29915745241133,2.78160960502728,48582334.0
Ukraine,2334.3964739474,165663.6,2.75,178757021386.809,92.7710037231445,24.0984080172822,-2.66682470821613,37000000.0
United Arab Emirates,7975.79060816431,188088.7,3.5,504173451327.434,115.833160400391,29.5773766657761,0.799054784290549,9516871.0
United Kingdom,2764.51667133806,308650.3,3.5,3340032380668.04,98.5245819091797,18.0561063330652,0.821212039762055,68350000.0
United States,6803.99660728499,4320532.5,3.5,27360935000000.0,96.9717330932617,19.2767797091913,0.491924871690548,334914895.0
Uruguay,1389.60486038998,6514.3,4.0,77240831587.167,105.501998901367,18.0559034554937,0.00917337117067443,3423108.0
Uzbekistan,1419.47776690297,115577.8,3.5,90889149306.7313,94.3349990844727,24.1797430038117,2.12121533052509,36412350.0
Vanuatu,153.276839869496,121.3,3.5,1126313359.21923,110.521003723145,11.2306900498544,2.34900690287816,334506.0
"Venezuela, RB",2304.52870852259,72509.0,3.5,482359318767.703,100.678001403809,17.8638251052569,1.87895331104326,28838499.0
Viet Nam,663.887382844496,355323.1,4.0,429716969049.593,123.134002685547,30.6119636643377,0.682172962745761,98858950.0
"Yemen, Rep.",306.314052304028,9960.1,2.5,21606160663.0318,83.8951034545898,11.7119508241247,2.21065600879913,34449825.0
Zambia,631.919735219799,7607.1,3.5,28162630953.9285,94.7779998779297,10.3460794360527,2.72052846961362,20569737.0
Zimbabwe,832.572235670715,8312.5,4.0,26538273498.8461,95.7900009155273,13.7508069610728,2.09110005063999,16665409.0
American Samoa,3257.257238055446,26321.85,3.5,871000000.0,84.5378494262695,14.62546008327065,-0.814183458237158,43914.0
Aruba,3257.257238055446,26443.0421995,3.0,3544707788.05664,115.184997558594,19.715057652443498,-0.157952665853709,106277.0
Bermuda,3257.257238055446,27482.199999999997,4.0,7827980000.0,85.4250030517578,15.73692593491845,-0.166818835702156,63489.0
Cayman Islands,3480.0516086257417,26945.6,3.75,6600844001.53721,87.6824264526367,19.0898743657568,0.875266427063587,69310.0
Channel Islands,3257.257238055446,26548.8,1.75,11228317318.7652,114.17341232299799,18.2237051159835,0.725194564039875,175346.0
Curacao,12650.8604378195,26736.199999999997,4.0,3073840325.43285,123.561996459961,14.11305521899015,-1.43292207278827,147862.0
Faroe Islands,3257.257238055446,26443.0421995,3.0,3555929833.05051,114.17341232299799,19.715057652443498,0.338473433332776,53270.0
French Polynesia,3257.257238055446,26732.699999999997,3.75,5814661208.90544,102.943237304688,14.5869478179634,0.843050034136393,308872.0
Greenland,3257.257238055446,26562.399999999998,3.75,3235809504.29871,114.17341232299799,16.27989892080425,0.359389425458904,56865.0
Guam,3257.257238055446,26945.6,3.75,6910000000.0,77.8290481567383,13.4002259286331,0.683444002088191,172952.0
"Hong Kong SAR, China",1970.48412753302,222839.4,3.0,382054574298.529,101.081039428711,14.0007468504173,2.55352466697343,7536100.0
Isle of Man,3257.257238055446,27482.199999999997,4.0,7931193222.06405,114.17341232299799,15.73692593491845,0.225729728476368,84710.0
Kosovo,1219.32665515942,28142.149999999998,3.5,10438351483.1677,114.17341232299799,13.8432822809978,-0.66461489766678,1756374.0
"Macao SAR, China",3257.257238055446,31182.8,3.5,47061843715.8565,84.9676666259766,14.4904731129509,1.28364385187692,704149.0
Monaco,3257.257238055446,38835.899999999994,3.75,8784002931.68665,144.476531982422,17.82522066244075,-0.472749142011553,36297.0
New Caledonia,3257.257238055446,27426.149999999998,3.75,9623318718.31459,114.306213378906,22.3782280075583,-0.47472420231839,267940.0
Northern Mariana Islands,3257.257238055446,26321.85,3.5,858000000.0,114.17341232299799,14.62546008327065,0.493221731247645,49796.0
Puerto Rico,3257.257238055446,43434.1,3.0,117902300000.0,100.430526733398,12.3776560470208,-0.448878435008411,3205691.0
San Marino,3257.257238055446,26383.1,3.25,1855382833.1165,97.7879028320312,11.7970778441957,-0.053490239306932,33642.0
Sint Maarten (Dutch part),3083.644057780569,26330.25,2.75,1623165683.12849,114.17341232299799,12.19336289367715,0.670317314116942,41163.0
St. Martin (French part),3332.843473029968,26300.0,3.5,649206262.847519,114.17341232299799,16.51695783246135,0.89560315551153,32077.0
Turks and Caicos Islands,3257.257238055446,26382.699999999997,3.5,1402054390.94734,122.33812713623,13.98029447562875,0.782437381400663,46062.0
Virgin Islands (U.S.),3257.257238055446,26808.35,2.75,4444000000.0,118.979057312012,15.1932404944453,-0.471640678399366,104917.0
West Bank and Gaza,3257.257238055446,28509.699999999997,3.0,17396300000.0,91.7645874023438,32.6092385889896,2.39326476511584,5165775.0
British Virgin Islands,3316.317816091246,125.9980465,3.0,1252294547.9820094,101.18147277832,17.5566108332429,0.741533878612142,31538.0
Gibraltar,6040.45975594725,125.9980465,3.0,1252294547.9820094,127.165351867676,23.7509464484627,0.119381069323213,32688.0
