Country,renewable_energy_percentage,Alternative and nuclear energy (% of total energy use),fossil_fuel_energy_percentage,Energy use (kg of oil equivalent per capita),CO2 emissions (kt),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),GDP (current US$),"School enrollment, primary (% gross)",Employment in industry (% of total employment) (modeled ILO estimate),Population growth (annual %),Population
Indonesia,20.2,0.83857029181184,66.089475456589,880.12100202521,563197.0,3.0,1371171152331.16,100.644996643066,21.867968440679,0.735139895418266,277534122.0
"Iran, Islamic Rep.",0.9,0.908868457414736,99.0225805453018,2964.86030207072,616561.3,3.5,401504514718.718,104.484008789062,34.2378730492119,0.700188903168177,89172767.0
Iraq,1.1,0.330700641375957,95.9841767833015,1346.5494443986,163511.5,3.25,250842782139.464,103.738700866699,27.5153440168032,2.24105014081182,45504560.0
Ireland,12.7,4.80014899386715,85.3428197664443,2819.87585169324,33742.2,3.5,545629450403.735,99.9838485717773,19.2499124626067,2.60299259103173,5262382.0
Israel,6.2,5.2453220351346,97.3821241260262,2777.87532368349,58471.8,3.5,509901495702.103,96.2489776611328,15.7097053375557,2.06280419087907,9756700.0
Italy,17.5,6.32722059410873,79.9484547354947,2481.75464546017,281286.8,3.5,2254851212731.8,101.617156982422,26.8712579854071,-0.304633382751779,58761146.0
Jamaica,10.5,0.569707729933871,80.9713448083227,1008.63983784772,5835.6,2.75,19423355367.2372,90.7408676147461,17.1763687996707,-0.0648514304106601,2825544.0
Japan,8.8,3.09202073923516,93.0264551074629,3428.55721600428,1014064.7,3.5,4212945159781.4,102.218322753906,23.5516575956172,-0.487370782049143,124516650.0
Jordan,11.5,1.91772585795846,97.6084466505233,944.744333177101,20974.1,3.5,50813642348.6746,87.5580368041992,18.2445478311613,0.452488759778546,11337052.0
Kazakhstan,2.0,0.60888813034448,99.1739073129022,4434.63912123152,211896.7,3.25,261421121085.572,100.523002624512,21.508748349175,1.34158039345206,19900177.0
Kenya,67.7,2.23894077499308,17.3795726114892,515.58168167853,19446.8,4.0,107440575838.048,97.1859970092773,15.5799122226502,1.96674157342146,55100586.0
"Korea, Dem. People's Rep.",14.7,7.01144551735973,62.0519947635667,474.054720163642,52437.2,3.5,870323192877.6376,93.1532287597656,12.9863745780894,0.35000834215513,26160821.0
"Korea, Rep.",3.6,15.9628201690884,81.0284758071445,5413.34785665856,569681.8,3.0,1712792854202.37,99.0333633422852,24.4572796744967,0.077477253324535,51712619.0
Kosovo,24.6267270531401,0.519176378508478,86.1215820047413,1219.32665515942,28142.15,3.5,10438351483.1677,114.173412322998,13.8432822809978,-0.66461489766678,1756374.0
Kuwait,0.1,0.0,93.6898894512707,9006.50497237334,92308.9,2.75,161772221950.942,101.933448791504,25.1586587791191,0.96131038288673,4310108.0
Kyrgyz Republic,27.6,22.7125830672669,75.4762189566472,650.40150801131,9080.1,3.0,13987627908.8381,96.1800003051758,24.5669546459927,1.78894630690457,7100800.0
Latvia,44.0,6.84384598600371,56.7174275733725,2176.84330583785,6928.3,3.5,43627078481.287,99.41796875,23.6691358191191,0.125866344662112,1881750.0
Lebanon,6.8,0.523449394052419,97.6211011078068,1194.33001898845,21474.9,3.0,17937256175.141,83.5560989379883,20.4318191476862,-2.50498427319778,5353930.0
Libya,3.1,0.0,99.1112963634113,2930.37316629505,44467.0,3.5,50491722445.7773,106.919326782227,22.7692443695571,1.1101275120524,6888388.0
Lithuania,33.2,3.80511456042233,67.9937494705635,2387.27519440779,11693.8,3.5,77836396962.772,101.434379577637,25.7446530098552,1.41170910782706,2871897.0
Luxembourg,20.5,3.71309534214227,80.562295207665,6548.40555894973,7853.1,3.0,85755006123.5976,98.4758377075195,9.11830869023959,2.34600975458798,668606.0
Malaysia,7.5,1.18068772456147,96.6281988978081,2930.84832191793,245139.3,3.5,399648828546.504,97.754997253418,28.1338675856663,1.08520231604055,34308525.0
Malta,8.6,1.46656264087723,97.7884616626645,1781.50442518605,1610.7,3.25,20956999452.4317,93.5346603393555,17.1561615803047,4.07701021450296,553214.0
Mauritius,8.6,0.80457846628087,84.5423603034044,1111.18070928824,3720.2,3.25,14397127281.3829,102.881149291992,21.4628133132448,-0.117452949112512,1261041.0
Mexico,13.0,3.51721073584162,90.4262079109407,1559.11899782985,383131.4,3.0,1788886821046.81,102.004783630371,25.0269994052711,0.743434542137949,128455567.0
Moldova,21.4,0.767238068929922,88.6880222394062,1155.26267445583,8611.2,4.0,16539436547.295,106.542778015137,12.6796857383105,-2.06952171753803,2486891.0
Mongolia,3.0,0.259410425016945,93.1993828259583,1851.58413034484,21184.7,3.5,19872180369.6275,95.5630035400391,22.0809216619565,1.42551054825547,3447157.0
Montenegro,39.6,12.9572960184337,64.6646970020115,1538.26409996623,2527.2,4.0,7404541964.50779,100.693969726562,18.4874772917475,-0.167992320943883,616177.0
Morocco,10.9,1.61676234508113,88.4688628123422,554.226022007379,66719.5,2.75,141109373209.414,114.169990539551,23.9551234891988,1.01483758667745,37840044.0
Mozambique,76.9,9.17019673478017,12.6199534718635,446.872087028602,6945.5,3.5,20624597846.5495,121.177581787109,9.08160989329672,2.77535206169073,33897354.0
Myanmar,62.9,3.12653493147673,44.2898952399838,378.070648519683,33874.6,2.0,64815031669.0952,118.851997375488,18.7853504888887,0.733178876221607,54577997.0
Namibia,30.0,17.785332290757,66.7190908320656,805.074540760347,3952.8,2.25,12351024843.7467,132.985992431641,16.5781978166068,1.4372197796667,2604172.0
Nepal,73.7,5.24324797182476,15.4826794026705,425.666370962227,14949.2,3.5,40908073366.8455,122.984001159668,17.4569581402028,1.13603537496157,30896590.0
Netherlands,12.2,3.37380480632713,93.4610046096056,4233.04385740124,130315.1,3.0,1118124749886.29,104.378402709961,14.027621260572,1.00340157218113,17879488.0
New Zealand,28.9,13.9876097391326,59.7491685361223,4431.51473076756,31359.7,3.25,253465703232.146,97.9169464111328,20.7728581178517,2.04836808947608,5223100.0
Nicaragua,50.4,3.34174918847901,40.6953920569917,589.911117925947,4582.2,2.5,17829215283.7997,107.180000305176,18.1763456020531,1.39938096442621,7046310.0
Niger,79.6,0.0119184142965537,24.0603681542742,148.99276864037,2197.95,3.5,16819170420.5653,64.9660034179688,7.37081551552738,3.72576598230791,27202843.0
Nigeria,80.3,0.274463995659247,18.876766756621,750.970916241396,111978.1,3.0,362814951696.073,86.7234268188477,14.5602960093505,2.37988826918731,223804632.0
North Macedonia,19.5,5.52938174692284,79.4259146649485,1367.86285883549,6796.7,2.25,14761237042.2057,91.3753128051758,30.4006911841419,-1.0830878621445,1811980.0
